,time,open,high,low,close,tick_volume,spread,real_volume
241,2021-12-07,1.12843,1.12977,1.12269,1.1262699999999999,609913,14,91486950000
242,2021-12-08,1.1262699999999999,1.1354,1.12601,1.13416,674245,15,101136750000
243,2021-12-09,1.13416,1.13446,1.12777,1.12923,594782,15,89217300000
244,2021-12-10,1.12921,1.13233,1.12644,1.13111,571412,13,85711800000
245,2021-12-13,1.13073,1.13186,1.12594,1.12832,551565,15,82734750000
246,2021-12-14,1.12832,1.13231,1.1252900000000001,1.1258,581332,15,87199800000
247,2021-12-15,1.12581,1.12985,1.12208,1.12806,435545,14,65331750000
248,2021-12-16,1.12806,1.13595,1.12771,1.13288,634917,15,95237550000
249,2021-12-17,1.13288,1.13481,1.12335,1.12398,624842,13,93726300000
250,2021-12-20,1.12353,1.13031,1.12339,1.12751,650348,15,97552200000
251,2021-12-21,1.12751,1.1302,1.12601,1.12761,481493,14,72223950000
252,2021-12-22,1.12751,1.13415,1.12631,1.13248,518216,15,77732400000
253,2021-12-23,1.13248,1.13415,1.12894,1.13197,422796,14,63419400000
254,2021-12-24,1.13197,1.13429,1.13056,1.13192,279555,15,41933250000
255,2021-12-27,1.13056,1.13339,1.13022,1.13263,215290,14,32293500000
256,2021-12-28,1.13263,1.13326,1.12888,1.13073,226592,14,33988800000
257,2021-12-29,1.13066,1.13681,1.12729,1.13448,264626,14,39693900000
258,2021-12-30,1.13446,1.13592,1.12978,1.13138,289933,14,43489950000
259,2021-12-31,1.13138,1.13857,1.13025,1.13839,268167,13,40225050000
